ticker,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
BITGF,2019-04-24T09:00:00.000Z,TAS,0.68,0.73,7.35,EDT,-14400000,EQUITY
AGGFF,2019-04-24T16:45:00.000Z,TAS,,,,EDT,-14400000,EQUITY
AKR,2019-04-24T16:15:00.000Z,TAS,0.11,0.15,42.86,EDT,-14400000,EQUITY
ATNI,2019-04-24T17:02:00.000Z,TAS,-0.14,-0.1,31.03,EDT,-14400000,EQUITY
ARI,2019-04-24T16:15:00.000Z,TAS,0.46,0.5,7.76,EDT,-14400000,EQUITY
AVY,2019-04-24T06:47:00.000Z,TAS,1.46,1.48,1.72,EDT,-14400000,EQUITY
FWRD,2019-04-24T16:05:00.000Z,TAS,0.62,0.64,3.23,EDT,-14400000,EQUITY
MXCHF,2019-04-24T19:31:00.000Z,TAS,0.03,0.02,-35.48,EDT,-14400000,EQUITY
IARSF,2019-04-24T07:09:00.000Z,TAS,1.66,1.68,1.2,UTC,0,EQUITY
PSKOF,2019-04-25T01:36:00.000Z,TAS,1.78,1.98,11.17,EDT,-14400000,EQUITY
SWDBF,2019-04-25T01:00:00.000Z,TAS,4.31,4.7,9.15,EDT,-14400000,EQUITY
TAGMF,2019-04-25T02:30:00.000Z,TAS,0.23,0,-100,UTC,0,EQUITY
T-PC,2019-04-24T06:51:00.000Z,TAS,0.86,0.86,0.23,EDT,-14400000,EQUITY
ALPMF,2019-04-24T23:00:00.000Z,TAS,,16.42,,EDT,-14400000,EQUITY
ARR,2019-04-24T16:15:00.000Z,TAS,0.62,0.61,-1.45,EDT,-14400000,EQUITY
FBRT,2019-04-24T16:43:00.000Z,TAS,0.08,0.12,50,EDT,-14400000,EQUITY
GCBC,2019-04-24T13:59:00.000Z,TAS,,,,EDT,-14400000,EQUITY
CUBI-PF,2019-04-24T16:30:00.000Z,TAS,0.39,0.38,-3.31,EDT,-14400000,EQUITY
SWK,2019-04-24T06:00:00.000Z,TAS,1.11,1.42,28.39,EDT,-14400000,EQUITY
FMBH,2019-04-24T17:05:00.000Z,TAS,0.72,0.8,11.11,EDT,-14400000,EQUITY
SOHMF,2019-04-25T02:42:00.000Z,TAS,,0.38,,UTC,0,EQUITY
PBNNF,2019-04-25T00:54:00.000Z,TAS,218.94,219,0.03,EDT,-14400000,EQUITY
VBIZF,2019-04-25T01:00:00.000Z,TAS,,,,EDT,-14400000,EQUITY
TUP,2019-04-24T07:00:00.000Z,TAS,0.89,0.9,0.78,EDT,-14400000,EQUITY
BDN,2019-04-24T16:31:00.000Z,TAS,0.04,0.02,-50,EDT,-14400000,EQUITY
CUBI,2019-04-24T16:30:00.000Z,TAS,0.39,0.38,-3.31,EDT,-14400000,EQUITY
OBNK,2019-04-24T16:36:00.000Z,TAS,0.58,0.6,3.81,EDT,-14400000,EQUITY
FBP,2019-04-24T07:30:00.000Z,TAS,0.17,0.17,-2.3,EDT,-14400000,EQUITY
